#timestamp [ns], position.x [m], position.y [m], position.z [m], quaternion.w [], quaternion.x [], qquaternion.y [], quaternion.z []
0000000011650000000,-0.0168069992,1.20989704,1.34691596,0.456119984,0.468897939,0.482201934,0.582726061
0000000011700000000,-0.0553830005,1.20929003,1.34956598,0.458282024,0.454842001,0.486016989,0.588967979
0000000011750000000,-0.0946680009,1.20270896,1.35602295,0.452007979,0.443372965,0.489371985,0.599686027
0000000011800000000,-0.134754002,1.19447601,1.36009705,0.444510996,0.433732003,0.494625002,0.607973993
0000000011850000000,-0.174375996,1.18497396,1.361202,0.444727987,0.422690004,0.496030003,0.614413977
0000000011900000000,-0.214591995,1.17505896,1.359007,0.444994003,0.411782026,0.499191999,0.619050026
0000000011950000000,-0.254958004,1.16582,1.35488498,0.442591041,0.40476203,0.502824008,0.622453988
0000000012000000000,-0.294891,1.15625203,1.350173,0.443001002,0.396812975,0.507191956,0.623736024
0000000012050000000,-0.334722012,1.14671504,1.34438002,0.433646977,0.392598957,0.511616945,0.629335999
0000000012100000000,-0.374612987,1.13607395,1.33991301,0.423435032,0.391405016,0.512908995,0.635946989
0000000012150000000,-0.415286988,1.12460303,1.33785403,0.412035972,0.390512973,0.512710989,0.64409101
0000000012200000000,-0.456571996,1.112661,1.33984303,0.409655005,0.394859999,0.511882007,0.643617988
0000000012250000000,-0.498652995,1.10003495,1.34420204,0.40158096,0.402534008,0.514517009,0.641849995
0000000012300000000,-0.537468016,1.08802497,1.34814703,0.406787992,0.410149992,0.503868997,0.642197013
0000000012350000000,-0.576627016,1.07742095,1.35153604,0.411325991,0.414979994,0.499273986,0.639787972
0000000012400000000,-0.616774976,1.06937504,1.35581005,0.416536003,0.418246001,0.502515972,0.631699979
0000000012450000000,-0.656132996,1.06297803,1.35934305,0.419131011,0.421382993,0.509423018,0.622296989
0000000012500000000,-0.693081975,1.05651999,1.36029196,0.414962023,0.425386071,0.515805066,0.617088914
0000000012550000000,-0.728989005,1.04988599,1.35890603,0.409410059,0.432667047,0.516638041,0.615034938
0000000012600000000,-0.766350985,1.04258597,1.35518503,0.406151026,0.438349962,0.518513978,0.611582994
0000000012650000000,-0.805477977,1.03378296,1.35031295,0.403897017,0.440684021,0.518854976,0.611109972
0000000012700000000,-0.846055984,1.02370703,1.34401,0.40310201,0.439333975,0.520051003,0.611590028
0000000012750000000,-0.887800992,1.01328695,1.33858395,0.401463032,0.436981976,0.521687984,0.612955987
0000000012800000000,-0.930045009,1.00178301,1.33597696,0.397287995,0.430741996,0.523006976,0.618941009
0000000012850000000,-0.972274005,0.989589989,1.33902895,0.386725962,0.428932995,0.520658016,0.628787994
0000000012900000000,-1.01519799,0.974397004,1.34409201,0.383222014,0.397340983,0.536126018,0.638616025
0000000012950000000,-1.05234802,0.959605992,1.34918702,0.362163991,0.388528019,0.540216029,0.652724981
0000000013000000000,-1.08856404,0.944061995,1.35370696,0.340837002,0.374940008,0.547863007,0.665655017
